"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","VARIABLE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 16-64","Variable",13.1,"Normal Value"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 16-64","Numerator",5400,"Normal Value"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 16-64","Denominator",41100,"Normal Value"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 16-64","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 16-19","Variable",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 16-19","Numerator",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 16-19","Denominator",3800,"Normal Value"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 16-19","Confidence",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 20-24","Variable",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 20-24","Numerator",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 20-24","Denominator",4100,"Normal Value"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 20-24","Confidence",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2021-Dec 2021","Boston","E07000136","% with no qualifications (GCSE) - aged 25-29","Variable",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
