"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","VARIABLE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCE A level or equivalent - aged 50-64","Variable",22.8,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCE A level or equivalent - aged 50-64","Numerator",13400,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCE A level or equivalent - aged 50-64","Denominator",59100,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCE A level or equivalent - aged 50-64","Confidence",6.2,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 16-64","Variable",29.4,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 16-64","Numerator",58100,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 16-64","Denominator",197200,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 16-64","Confidence",3.8,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 16-19","Variable",56.2,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 16-19","Numerator",9900,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 16-19","Denominator",17700,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 16-19","Confidence",13.8,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 20-24","Variable",27.6,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 20-24","Numerator",5700,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 20-24","Denominator",20500,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 20-24","Confidence",14.2,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 25-29","Variable",34.1,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 25-29","Numerator",6200,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 25-29","Denominator",18200,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 25-29","Confidence",14.5,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 30-39","Variable",28.3,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 30-39","Numerator",11600,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 30-39","Denominator",41000,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 30-39","Confidence",8.1,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 40-49","Variable",31.4,"Normal Value"
"Jan 2015-Dec 2015","North Northamptonshire","E06000061","% with GCSE grades A-C or equivalent - aged 40-49","Numerator",12800,"Normal Value"
