"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","VARIABLE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 25-29","Variable",18.1,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 25-29","Numerator",1200,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 25-29","Denominator",6800,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 25-29","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 30-39","Variable",36.1,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 30-39","Numerator",5500,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 30-39","Denominator",15300,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 30-39","Confidence",14.2,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 40-49","Variable",26.3,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 40-49","Numerator",2800,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 40-49","Denominator",10800,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 40-49","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 50-64","Variable",32.3,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 50-64","Numerator",7400,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 50-64","Denominator",22900,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ4+ - aged 50-64","Confidence",11.1,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ3 only - aged 16-64","Variable",22.2,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ3 only - aged 16-64","Numerator",14500,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ3 only - aged 16-64","Denominator",65300,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ3 only - aged 16-64","Confidence",9.6,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ3 only - aged 16-19","Variable",46.8,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ3 only - aged 16-19","Numerator",,"These figures are suppressed as statistically unreliable"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ3 only - aged 16-19","Denominator",3900,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ3 only - aged 16-19","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ3 only - aged 20-24","Variable",28.3,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ3 only - aged 20-24","Numerator",1600,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ3 only - aged 20-24","Denominator",5600,"Normal Value"
"Jan 2019-Dec 2019","Carlisle","E07000028","% with NVQ3 only - aged 20-24","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
