"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","VARIABLE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive discouraged","Variable",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive discouraged","Numerator",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive discouraged","Denominator",19100,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive discouraged","Confidence",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive retired","Variable",5.0,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive retired","Numerator",,"These figures are suppressed as statistically unreliable"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive retired","Denominator",19100,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive retired","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive other","Variable",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive other","Numerator",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive other","Denominator",19100,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive other","Confidence",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive who want a job","Variable",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive who want a job","Numerator",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive who want a job","Denominator",19100,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of economically inactive who want a job","Confidence",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","Employment rate - aged 16-64","Variable",74.4,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","Employment rate - aged 16-64","Numerator",63800,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","Employment rate - aged 16-64","Denominator",85800,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","Employment rate - aged 16-64","Confidence",7.2,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 16-64","Variable",95.4,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 16-64","Numerator",81800,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 16-64","Denominator",85800,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 16-64","Confidence",5.5,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 16-19","Variable",90.5,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 16-19","Numerator",5700,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 16-19","Denominator",6300,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 16-19","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 20-24","Variable",100.0,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 20-24","Numerator",6700,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 20-24","Denominator",6700,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 20-24","Confidence",,"These figures are missing."
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 25-49","Variable",93.7,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 25-49","Numerator",45900,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 25-49","Denominator",49000,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 25-49","Confidence",8.8,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 50+","Variable",99.4,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 50+","Numerator",50100,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 50+","Denominator",50300,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of white - aged 50+","Confidence",1.9,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 16-64","Variable",4.6,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 16-64","Numerator",4000,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 16-64","Denominator",85800,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 16-64","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 16-19","Variable",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 16-19","Numerator",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 16-19","Denominator",6300,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 16-19","Confidence",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 20-24","Variable",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 20-24","Numerator",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 20-24","Denominator",6700,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 20-24","Confidence",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 25-49","Variable",6.3,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 25-49","Numerator",3100,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 25-49","Denominator",49000,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 25-49","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 50+","Variable",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 50+","Numerator",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 50+","Denominator",50300,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% of ethnic minority - aged 50+","Confidence",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 16-64","Variable",66.1,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 16-64","Numerator",42200,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 16-64","Denominator",63800,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 16-64","Confidence",9.0,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 16-19","Variable",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 16-19","Numerator",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 16-19","Denominator",1800,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 16-19","Confidence",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 20-24","Variable",76.0,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 20-24","Numerator",3600,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 20-24","Denominator",4700,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 20-24","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 25-49","Variable",69.0,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 25-49","Numerator",28300,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 25-49","Denominator",41000,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 25-49","Confidence",11.4,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 50+","Variable",55.8,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 50+","Numerator",11100,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 50+","Denominator",19800,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working full-time - aged 50+","Confidence",14.4,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working part-time - aged 16-64","Variable",33.9,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working part-time - aged 16-64","Numerator",21600,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working part-time - aged 16-64","Denominator",63800,"Normal Value"
"Jan 2022-Dec 2022","Lancaster","E07000121","% in employment working part-time - aged 16-64","Confidence",9.0,"Normal Value"
