"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","VARIABLE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with GCSE grades A-C or equivalent - aged 30-39","Variable",17.6,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with GCSE grades A-C or equivalent - aged 30-39","Numerator",3100,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with GCSE grades A-C or equivalent - aged 30-39","Denominator",17700,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with GCSE grades A-C or equivalent - aged 30-39","Confidence",6.8,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with GCSE grades A-C or equivalent - aged 40-49","Variable",22.9,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with GCSE grades A-C or equivalent - aged 40-49","Numerator",3300,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with GCSE grades A-C or equivalent - aged 40-49","Denominator",14300,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with GCSE grades A-C or equivalent - aged 40-49","Confidence",8.0,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with GCSE grades A-C or equivalent - aged 50-64","Variable",15.8,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with GCSE grades A-C or equivalent - aged 50-64","Numerator",5300,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with GCSE grades A-C or equivalent - aged 50-64","Denominator",33700,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with GCSE grades A-C or equivalent - aged 50-64","Confidence",4.4,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 16-64","Variable",5.7,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 16-64","Numerator",4700,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 16-64","Denominator",82300,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 16-64","Confidence",1.9,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 16-19","Variable",10.3,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 16-19","Numerator",700,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 16-19","Denominator",6800,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 16-19","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 20-24","Variable",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 20-24","Numerator",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 20-24","Denominator",5900,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 20-24","Confidence",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 25-29","Variable",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 25-29","Numerator",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 25-29","Denominator",4000,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 25-29","Confidence",,"Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 30-39","Variable",4.6,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 30-39","Numerator",800,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 30-39","Denominator",17700,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 30-39","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 40-49","Variable",7.5,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 40-49","Numerator",1100,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 40-49","Denominator",14300,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 40-49","Confidence",,"Estimate and confidence interval unreliable since the group sample size is small (3-9)"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 50-64","Variable",6.2,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 50-64","Numerator",2100,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 50-64","Denominator",33700,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with other qualifications (GCSE) - aged 50-64","Confidence",2.9,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with no qualifications (GCSE) - aged 16-64","Variable",9.3,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with no qualifications (GCSE) - aged 16-64","Numerator",7600,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with no qualifications (GCSE) - aged 16-64","Denominator",82300,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with no qualifications (GCSE) - aged 16-64","Confidence",2.4,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with no qualifications (GCSE) - aged 16-19","Variable",10.7,"Normal Value"
"Jan 2019-Dec 2019","Dumfries and Galloway","S12000006","% with no qualifications (GCSE) - aged 16-19","Numerator",700,"Normal Value"
