"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_SIZEBAND_NAME","LEGAL_STATUS_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2015","Islington","E09000019","H : Transportation and storage","500 to 999","Total","Value",0,"Normal Value"
"2015","Islington","E09000019","H : Transportation and storage","500 to 999","Private sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","H : Transportation and storage","500 to 999","Public sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","H : Transportation and storage","1000+","Total","Value",5,"Normal Value"
"2015","Islington","E09000019","H : Transportation and storage","1000+","Private sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","H : Transportation and storage","1000+","Public sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Total","Total","Value",885,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Total","Private sector total","Value",885,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Total","Public sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Micro (0 to 9)","Total","Value",655,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Micro (0 to 9)","Private sector total","Value",655,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Micro (0 to 9)","Public sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","0 to 4","Total","Value",435,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","0 to 4","Private sector total","Value",435,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","0 to 4","Public sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","5 to 9","Total","Value",220,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","5 to 9","Private sector total","Value",220,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","5 to 9","Public sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Small (10 to 49)","Total","Value",190,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Small (10 to 49)","Private sector total","Value",190,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Small (10 to 49)","Public sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","10 to 19","Total","Value",110,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","10 to 19","Private sector total","Value",110,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","10 to 19","Public sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","20 to 49","Total","Value",80,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","20 to 49","Private sector total","Value",80,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","20 to 49","Public sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Medium-sized (50 to 249)","Total","Value",35,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Medium-sized (50 to 249)","Private sector total","Value",35,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Medium-sized (50 to 249)","Public sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","50 to 99","Total","Value",25,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","50 to 99","Private sector total","Value",25,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","50 to 99","Public sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","100 to 249","Total","Value",10,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","100 to 249","Private sector total","Value",10,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","100 to 249","Public sector total","Value",0,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Large (250+)","Total","Value",5,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Large (250+)","Private sector total","Value",5,"Normal Value"
"2015","Islington","E09000019","I : Accommodation and food service activities","Large (250+)","Public sector total","Value",0,"Normal Value"
